country;region_code;region;year;sector;va;va_q05;emp;va_q10;va_q91
BWA;SSA;Sub-saharan Africa;1964;Finance, insurance, real estate and business services;1,11919388035367e+00;2,41945816910650e+01;1,20922715794413e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1964;Government services;4,82248462865514e+00;1,73219566678578e+02;4,51419416220072e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1964;Community, social and personal services;2,34132828701301e+00;3,02338400551481e+01;4,07457867985515e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1964;Summation of sector GDP;3,74822945751317e+01;1,27914421428679e+03;1,73882872948922e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1965;Agriculture;1,57269971229110e+01;3,33257159610366e+02;1,53297081266355e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1965;Mining;2,49576817069973e+00;1,42957669134316e+02;1,32633165767418e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1965;Manufacturing;1,01819921279206e+00;1,20108960835128e+01;2,33040613596527e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1965;Utilities;1,35097574507765e-01;4,74954304573497e+00;1,49767026456712e-01;NA;NA
BWA;SSA;Sub-saharan Africa;1965;Construction;1,34623115930777e+00;2,89817488022457e+02;4,68178461537757e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1965;Trade, restaurants and hotels;7,06482517651865e+00;3,71358019920256e+02;2,75629359751699e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1965;Transport, storage and communication;1,93900708255971e+00;2,72010706814922e+01;2,42585679210537e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1965;Finance, insurance, real estate and business services;1,24678925677175e+00;2,69529212534417e+01;1,34882316530550e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1965;Government services;5,69584798660056e+00;2,04590039384147e+02;5,54774872016138e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1965;Community, social and personal services;2,67833766165883e+00;3,45856806691467e+01;4,89957411482506e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1965;Summation of sector GDP;3,93471004043279e+01;1,44748048780487e+03;1,78763667091743e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1966;Agriculture;1,76806613617820e+01;3,74655564530909e+02;1,53886685425072e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1966;Mining;1,97034329265768e+00;1,12861317737618e+02;1,00223193133812e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1966;Manufacturing;8,03841483783207e-01;9,48228638172062e+00;1,28164155870625e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1966;Utilities;2,02646361761648e-01;7,12431456860246e+00;2,16654975927643e-01;NA;NA
BWA;SSA;Sub-saharan Africa;1966;Construction;1,34623115930777e+00;2,89817488022457e+02;3,97438858229340e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1966;Trade, restaurants and hotels;8,27101484080233e+00;4,34760608687129e+02;3,18497472814475e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1966;Transport, storage and communication;2,15445231395523e+00;3,02234118683246e+01;2,41649015031805e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1966;Finance, insurance, real estate and business services;1,35819261553021e+00;2,93612239715452e+01;1,54735090386404e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1966;Government services;6,36594774973004e+00;2,28659455782282e+02;6,45164511956829e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1966;Community, social and personal services;2,99343621008928e+00;3,86545842772816e+01;5,75619659349557e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1966;Summation of sector GDP;4,31467673893994e+01;1,55560025582787e+03;1,79718259968728e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1967;Agriculture;1,91459095409352e+01;4,05704368221316e+02;1,55065893742505e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1967;Mining;2,29873384143396e+00;1,31671537360555e+02;1,11916331622712e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1967;Manufacturing;9,37815064413741e-01;1,10626674453407e+01;1,04162328395035e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1967;Utilities;2,02646361761648e-01;7,12431456860246e+00;2,08943983219496e-01;NA;NA
BWA;SSA;Sub-saharan Africa;1967;Construction;8,97487439538514e-01;1,93211658681638e+02;2,24925121518578e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1967;Trade, restaurants and hotels;4,30782022958455e+00;2,26437817024546e+02;1,63729861975782e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1967;Transport, storage and communication;1,72356185116418e+00;2,41787294946597e+01;1,73315496579321e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1967;Finance, insurance, real estate and business services;1,53662974710359e+00;3,32186537094629e+01;1,75543043602974e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1967;Government services;7,03604751285952e+00;2,52728872180417e+02;7,41967996728112e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1967;Community, social and personal services;3,30853475851973e+00;4,27234878854165e+01;6,68765589532144e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1967;Summation of sector GDP;4,13951863473146e+01;1,32806210657195e+03;1,78918095425272e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1968;Agriculture;2,10995737798061e+01;4,61998275773556e+02;1,56245102059939e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1968;Mining;1,83898707314717e+00;9,65591273977401e+01;7,85549097624144e-01;NA;NA
BWA;SSA;Sub-saharan Africa;1968;Manufacturing;7,50252051530993e-01;1,63028783405021e+01;1,06933164199636e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1968;Utilities;2,02646361761648e-01;7,12431456860246e+00;2,01507433358972e-01;NA;NA
BWA;SSA;Sub-saharan Africa;1968;Construction;1,21801866794513e+00;1,73395078304034e+02;1,71356387325734e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1968;Trade, restaurants and hotels;5,16938427550145e+00;3,44185481877311e+02;2,45637471003936e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1968;Transport, storage and communication;2,44171262248260e+00;3,58512195955299e+01;2,30393505680675e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1968;Finance, insurance, real estate and business services;1,03302840141418e+00;3,24015103561819e+01;1,86734648029321e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1968;Government services;5,02574822347108e+00;2,61919012986978e+02;8,00103828410416e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1968;Community, social and personal services;2,36323911322838e+00;4,42770692630680e+01;7,28548875410019e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1968;Summation of sector GDP;4,11425905702887e+01;1,47401396846350e+03;1,81929237391519e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1969;Agriculture;2,18622089766666e+01;4,62978599394151e+02;1,57424310377372e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1969;Mining;5,24451869008638e+00;2,60879045951789e+02;2,03141025594052e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1969;Manufacturing;2,13960770251431e+00;4,64933937858764e+01;2,12440192970073e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1969;Utilities;5,77917402060995e-01;1,30612433757712e+01;3,56281857467119e-01;NA;NA
BWA;SSA;Sub-saharan Africa;1969;Construction;3,47360879376943e+00;3,86114154579607e+02;3,23920288323983e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1969;Trade, restaurants and hotels;5,75202470943087e+00;3,51715013047435e+02;2,47751396101514e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1969;Transport, storage and communication;2,71691764228279e+00;3,66575176835232e+01;2,11198938542550e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1969;Finance, insurance, real estate and business services;1,23299725877343e+00;3,55166125578155e+01;1,95862991770484e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1969;Government services;5,59219946208773e+00;2,67648851914457e+02;8,50733856729614e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1969;Community, social and personal services;2,62959939697354e+00;4,52456910983634e+01;7,82581646709048e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1969;Summation of sector GDP;5,12216000346461e+01;1,90631012338879e+03;1,88056895602253e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1970;Agriculture;2,31332676381007e+01;4,74321232777614e+02;1,58603518694806e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1970;Mining;1,01825395346482e+01;4,81186318198738e+02;3,58632922270448e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1970;Manufacturing;4,15417339644013e+00;9,02696411816691e+01;2,87332309075956e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1970;Utilities;1,12206041049505e+00;1,86857022457205e+01;4,91563708205756e-01;NA;NA
BWA;SSA;Sub-saharan Africa;1970;Construction;6,74421447621468e+00;6,14892284547576e+02;4,37905467479974e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1970;Trade, restaurants and hotels;6,74375310760861e+00;3,81234360271325e+02;2,65057668651568e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1970;Transport, storage and communication;3,18535171853845e+00;3,97544459016140e+01;2,05341515327254e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1970;Finance, insurance, real estate and business services;1,53481651113389e+00;4,08739020284310e+01;2,17912744681565e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1970;Government services;6,55637178313734e+00;2,90112548659392e+02;9,59497517408261e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1970;Community, social and personal services;3,08297860334829e+00;4,90431498828064e+01;8,91668439486768e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1970;Summation of sector GDP;6,64395271796653e+01;2,48037358569489e+03;1,95328568246830e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1971;Agriculture;2,47948790704386e+01;4,92725978750965e+02;1,59193122853523e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1971;Mining;9,00460982198988e+00;4,05259090568098e+02;2,89100000000000e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1971;Manufacturing;6,72016123917957e+00;1,46028219299547e+02;3,23800000000000e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1971;Utilities;1,41115547613934e+00;1,86041747119687e+01;4,72000000000000e-01;NA;NA
BWA;SSA;Sub-saharan Africa;1971;Construction;9,13515272151498e+00;7,05966658332682e+02;4,26800000000000e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1971;Trade, restaurants and hotels;9,01822785506328e+00;4,74037383200512e+02;3,25300000000000e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1971;Transport, storage and communication;3,97680609736203e+00;4,61694034758987e+01;2,13800000000000e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1971;Finance, insurance, real estate and business services;2,16536945242134e+00;5,36194872648799e+01;3,22398708162067e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1971;Government services;8,50032106131936e+00;3,49735151776513e+02;1,20355415169521e+01;NA;NA
BWA;SSA;Sub-saharan Africa;1971;Community, social and personal services;3,84292229962677e+00;5,68421455782712e+01;1,08634584830479e+01;NA;NA
BWA;SSA;Sub-saharan Africa;1971;Summation of sector GDP;7,85696050950552e+01;2,74898769295934e+03;2,01576109935143e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1972;Agriculture;3,47293874326368e+01;6,22170948774309e+02;1,60372331170956e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1972;Mining;1,28749290436192e+01;5,00768380713968e+02;3,26877357981024e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1972;Manufacturing;9,42078642265478e+00;1,85680065065291e+02;3,63461728023261e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1972;Utilities;2,01769171390857e+00;2,29887068837184e+01;5,78726336579927e-01;NA;NA
BWA;SSA;Sub-saharan Africa;1972;Construction;1,24665188825634e+01;9,19126490937757e+02;6,14184778579496e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1972;Trade, restaurants and hotels;1,25272543658806e+01;5,99710696181653e+02;4,52592297414645e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1972;Transport, storage and communication;5,63143604472608e+00;5,89565556193785e+01;2,55448563040908e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1972;Finance, insurance, real estate and business services;3,43058621013066e+00;7,67323561812119e+01;3,81465404856591e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1972;Government services;1,18850964925363e+01;4,41698793837647e+02;1,52624933216151e+01;NA;NA
BWA;SSA;Sub-saharan Africa;1972;Community, social and personal services;5,37315026278483e+00;7,17889151648966e+01;1,43905090159196e+01;NA;NA
BWA;SSA;Sub-saharan Africa;1972;Summation of sector GDP;1,10356836871441e+02;3,49962190935983e+03;2,14544361144030e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1973;Agriculture;4,64024355569270e+01;8,16077402642620e+02;1,60961935329673e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1973;Mining;1,74005838741735e+01;6,12441481835093e+02;6,69789078193852e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1973;Manufacturing;1,19329963016116e+01;2,18495404262436e+02;3,62744199142005e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1973;Utilities;2,72692872955996e+00;2,81152689578038e+01;5,67238859636626e-01;NA;NA
BWA;SSA;Sub-saharan Africa;1973;Construction;1,55358499747502e+01;1,08514083638970e+03;6,98372875427814e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1973;Trade, restaurants and hotels;1,67765215801715e+01;6,95073339083685e+02;5,13683806173663e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1973;Transport, storage and communication;7,71253333689491e+00;6,81445030144450e+01;2,73008096375376e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1973;Finance, insurance, real estate and business services;5,83886428357332e+00;1,12251643371446e+02;3,90945109366698e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1973;Government services;1,61501390054081e+01;5,15886183245973e+02;1,69292461353617e+01;NA;NA
BWA;SSA;Sub-saharan Africa;1973;Community, social and personal services;7,30133942920998e+00;8,38465260953377e+01;1,58848432359212e+01;NA;NA
BWA;SSA;Sub-saharan Africa;1973;Summation of sector GDP;1,47778192072280e+02;4,23547258889854e+03;2,23428695207387e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1974;Agriculture;5,47225871794495e+01;8,95936636890828e+02;1,62141143647106e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1974;Mining;1,92476844442962e+01;6,28417924314917e+02;7,58528161717375e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1974;Manufacturing;1,55757005014124e+01;3,45381330528990e+02;3,89773544945865e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1974;Utilities;3,01639669497289e+00;2,88486973597521e+01;8,98120576225576e-01;NA;NA
BWA;SSA;Sub-saharan Africa;1974;Construction;2,31876804801530e+01;1,02830477849176e+03;7,95393940632119e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1974;Trade, restaurants and hotels;2,16470177837931e+01;7,70895891426532e+02;5,81681429677505e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1974;Transport, storage and communication;8,97743416914571e+00;7,38880965872325e+01;2,97177906636262e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1974;Finance, insurance, real estate and business services;7,76230722608779e+00;1,33234518425867e+02;4,03018453579793e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1974;Government services;1,98578460056428e+01;5,66332352520382e+02;1,84245754733283e+01;NA;NA
BWA;SSA;Sub-saharan Africa;1974;Community, social and personal services;8,97756198702860e+00;9,20454974689513e+01;1,72043175048524e+01;NA;NA
BWA;SSA;Sub-saharan Africa;1974;Summation of sector GDP;1,82972216471982e+02;4,56328572401522e+03;2,30923891573402e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1975;Agriculture;6,12998212154410e+01;7,96085542607149e+02;1,63320351964540e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1975;Mining;2,16536449998332e+01;6,31981731069066e+02;8,15108362380849e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1975;Manufacturing;2,31322284674442e+01;4,86312792986221e+02;4,21989797973341e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1975;Utilities;6,30701127130695e+00;5,90391945967020e+01;1,08988688905161e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1975;Construction;2,31876804801530e+01;8,60822564131459e+02;9,03384203059565e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1975;Trade, restaurants and hotels;2,67228702296481e+01;8,42133795584759e+02;6,57114624364242e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1975;Transport, storage and communication;8,97743416914571e+00;6,71709968974841e+01;3,16803879765609e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1975;Finance, insurance, real estate and business services;1,13258676926007e+01;1,72112422246320e+02;2,31981967923417e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1975;Government services;2,70287348410138e+01;5,55317784886274e+02;2,27897407730157e+01;NA;NA
BWA;SSA;Sub-saharan Africa;1975;Community, social and personal services;1,01485483331628e+01;9,27731298600102e+01;2,11774658020130e+01;NA;NA
BWA;SSA;Sub-saharan Africa;1975;Summation of sector GDP;2,19783841699749e+02;4,56374995486544e+03;2,41841273783291e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1976;Agriculture;6,57723403599153e+01;8,06076348047741e+02;1,64499560281973e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1976;Mining;4,46305683052119e+01;1,03938681055095e+03;9,55877369813271e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1976;Manufacturing;3,14598307157241e+01;6,23262947332916e+02;4,34830645423521e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1976;Utilities;1,01460616103634e+01;8,89232313678721e+01;1,23259971676380e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1976;Construction;3,03400993347276e+01;8,69743005210541e+02;6,26507552966730e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1976;Trade, restaurants and hotels;3,53816773431653e+01;9,37619832249487e+02;6,97375182763950e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1976;Transport, storage and communication;1,74760718492703e+01;7,82889550046539e+01;2,89293873059235e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1976;Finance, insurance, real estate and business services;1,26192281182392e+01;1,61470655198648e+02;3,05849584714074e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1976;Government services;4,01753643725274e+01;7,09631044580569e+02;2,55251330441217e+01;NA;NA
BWA;SSA;Sub-saharan Africa;1976;Community, social and personal services;1,67841376279230e+01;1,36755164289927e+02;2,36046335849781e+01;NA;NA
BWA;SSA;Sub-saharan Africa;1976;Summation of sector GDP;3,04785379637067e+02;5,45115799383330e+03;2,47959268715245e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1977;Agriculture;7,43665928336109e+01;8,40135912049758e+02;1,66268372758124e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1977;Mining;5,55776888329053e+01;1,09409137952731e+03;9,39241513300576e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1977;Manufacturing;3,80910695430581e+01;6,86846947565310e+02;3,91719259424052e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1977;Utilities;8,40934836174260e+00;7,43456524551062e+01;1,53030195875667e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1977;Construction;3,21858848455855e+01;7,49317050642928e+02;7,19216337606703e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1977;Trade, restaurants and hotels;4,37419049010441e+01;1,03575825882157e+03;6,88077110698220e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1977;Transport, storage and communication;1,73563727270150e+01;7,68992102412577e+01;2,35383899522706e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1977;Finance, insurance, real estate and business services;1,46746708360553e+01;1,55882214809874e+02;2,73310129477976e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1977;Government services;5,22187802370608e+01;7,76815048801215e+02;2,86354662548366e+01;NA;NA
BWA;SSA;Sub-saharan Africa;1977;Community, social and personal services;1,28808498074758e+01;1,03519356537408e+02;2,63528841401704e+01;NA;NA
BWA;SSA;Sub-saharan Africa;1977;Summation of sector GDP;3,49503162925553e+02;5,59361103145174e+03;2,55256507612190e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1978;Agriculture;7,62959148175017e+01;8,36502891889543e+02;1,66857976916840e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1978;Mining;7,44644791938710e+01;2,03558580348897e+03;7,81486284860860e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1978;Manufacturing;3,67031358350114e+01;6,43525980374008e+02;3,85409404252953e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1978;Utilities;9,14059604537239e+00;8,16344419114892e+01;1,89464349690031e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1978;Construction;4,60292761770202e+01;1,02139050355494e+03;9,77211380869665e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1978;Trade, restaurants and hotels;4,89670471247183e+01;1,16042058446719e+03;7,84132975869406e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1978;Transport, storage and communication;2,17852402504602e+01;8,19949410403772e+01;2,26634403564647e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1978;Finance, insurance, real estate and business services;1,53762119879408e+01;1,41184156150430e+02;2,99962956400369e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1978;Government services;5,81025864609549e+01;7,95185674955298e+02;3,08333389045018e+01;NA;NA
BWA;SSA;Sub-saharan Africa;1978;Community, social and personal services;1,52228224997441e+01;1,02181444698188e+02;2,82383355949452e+01;NA;NA
BWA;SSA;Sub-saharan Africa;1978;Summation of sector GDP;4,02087310392595e+02;6,89960642253044e+03;2,62372668971367e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1979;Agriculture;8,12946126848553e+01;7,80645206926235e+02;1,68037185234274e+02;NA;NA
BWA;SSA;Sub-saharan Africa;1979;Mining;1,56868628221014e+02;2,00823351900079e+03;1,02382157294284e+01;NA;NA
BWA;SSA;Sub-saharan Africa;1979;Manufacturing;6,47702397088437e+01;8,65720618548748e+02;4,47069583498207e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1979;Utilities;1,05116854521782e+01;1,04594128699096e+02;1,99476575316478e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1979;Construction;4,96054856043075e+01;9,38430401519476e+02;1,23394492363226e+01;NA;NA
BWA;SSA;Sub-saharan Africa;1979;Trade, restaurants and hotels;6,03130702389822e+01;1,57021482515331e+03;7,23445352746088e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1979;Transport, storage and communication;1,98700542943758e+01;7,96786997680501e+01;2,32121032857116e+00;NA;NA
BWA;SSA;Sub-saharan Africa;1979;Finance, insurance, real estate and business services;2,10507573866624e+01;1,89286666446615e+02;3,72342537709656e+00;NA;NA
